id,lon,lat,count,country
CWSL,-119.291,50.703,4042,CAN
CXDI,-80.545,42.864,4042,CAN
CWSS,-67.253,45.21,4042,CAN
CXDW,-98.319,49.4,4042,CAN
CWSR,-107.553,53.368,4042,CAN
CXEA,-93.221,50.631,4042,CAN
CXEC,-113.517,53.573,4042,CAN
CWSP,-123.921,48.377,4042,CAN
CWST,-70.03,47.354,4042,CAN
WBKS,118.059,5.901,4042,MYS
CYCK,-82.085,42.307,4042,CAN
CYOW,-75.66,45.307,4042,CAN
CYPA,-105.679,53.217,4042,CAN
CYPD,-61.374,45.657,4042,CAN
WSSL,103.866,1.417,4042,SGP
CXDB,-112.808,49.048,4042,CAN
CWTA,-73.579,45.506,4042,CAN
CXHR,-112.503,51.191,4042,CAN
CXHA,-82.896,42.033,4042,CAN
CXHM,-79.905,43.286,4042,CAN
WSSS,103.982,1.368,4042,SGP
CXIB,-60.406,46.663,4042,CAN
CXCS,-110.708,51.942,4042,CAN
CXGH,-96.984,50.631,4042,CAN
WBKT,116.837,6.922,4042,MYS
CWSK,-123.161,49.783,4042,CAN
CWKG,-65.203,44.432,4042,CAN
CYNA,-61.789,50.19,4042,CAN
VTBD,100.607,13.913,4042,THA
CWJX,-109.501,50.876,4042,CAN
CYNE,-97.845,53.958,4042,CAN
CYNM,-77.793,49.759,4042,CAN
CWJI,-105.946,49.729,4042,CAN
CYQT,-89.33,48.374,4042,CAN
CYQV,-102.461,51.26,4042,CAN
CWIK,-102.567,50.366,4042,CAN
VTBS,100.767,13.686,4042,THA
CYMT,-74.527,49.779,4042,CAN
CYPL,-90.218,51.449,4042,CAN
CWJT,-74.556,46.08,4042,CAN
CYOD,-110.287,54.41,4042,CAN
CWJW,-118.03,52.926,4042,CAN
CYMH,-55.833,52.304,4042,CAN
CWRY,-112.051,49.133,4042,CAN
CXTP,-53.975,48.557,4042,CAN
WMKC,102.293,6.167,4042,MYS
CXZV,-66.26,50.217,4042,CAN
CYAM,-84.504,46.484,4042,CAN
WMKA,100.398,6.19,4042,MYS
CWPD,-71.229,47.562,4042,CAN
CXKE,-75.637,45.005,4042,CAN
CWRT,-114.482,49.628,4042,CAN
CXKA,-82.443,49.405,4042,CAN
CYBW,-114.382,51.108,4042,CAN
CWOC,-65.332,48.012,4042,CAN
CWNZ,-84.164,49.747,4042,CAN
CYBR,-99.945,49.91,4042,CAN
CYBU,-104.005,53.333,4042,CAN
CWNP,-117.817,50.269,4042,CAN
CWPR,-120.514,49.468,4042,CAN
WBKW,118.119,4.316,4042,MYS
CYBC,-68.202,49.135,4042,CAN
LIRF,12.239,41.8,4042,ITA
CYAY,-56.081,51.39,4042,CAN
CWVP,-109.514,49.64,4042,CAN
CWZG,-115.552,51.194,4042,CAN
LIRA,12.585,41.808,4042,ITA
CWZA,-121.759,49.244,4042,CAN
CXCA,-88.344,49.154,4042,CAN
CWSF,-65.325,49.251,4042,CAN
CWSD,-63.837,46.441,4042,CAN
CXBA,-110.101,52.124,4042,CAN
CXBK,-104.71,50.201,4042,CAN
CWVN,-107.586,49.058,4042,CAN
WMSA,101.552,3.13,4042,MYS
CXAF,-112.971,54.278,4042,CAN
WMKK,101.714,2.747,4042,MYS
WMKP,100.277,5.297,4042,MYS
KNUI,-76.432,38.152,4042,USA
CYHZ,-63.5136,44.8781,4042,CAN
CYIN,-121.681,51.265,4042,CAN
LEMI,-1.125,37.803,4042,ESP
EGXC,-0.173,53.094,4042,GBR
EEEI,24.209,59.26,4042,EST
KHIF,-111.962,41.111,4042,USA
LSZC,8.392,46.972,4042,CHE
LFPG,2.534,49.015,4042,FRA
LFPB,2.428,48.967,4042,FRA
LFOZ,2.163,47.897,4042,FRA
