id,lon,lat,country
TJBQ,-67.128,18.494,PRI
PTRO,134.544,7.367,PLW
LWSK,21.627,41.952,MKD
LWOH,20.744,41.181,MKD
LATI,19.716,41.419,ALB
KVQQ,-81.8725,30.2035,USA
KJWN,-86.8833,36.1852,USA
KHXD,-80.6949,32.2263,USA
EEKE,22.509,58.23,
YBCG,153.505,-28.168,AUS
SMZO,-55.191,5.811,SUR
PALG,-160.34,61.538,USA
KSUE,-87.425,44.847,USA
KANE,-93.2127,45.1426,USA
CYQI,-66.088,43.831,CAN
KTRK,-120.137,39.3154,USA
KTOA,-118.336,33.803,USA
KSUA,-80.2252,27.1815,USA
KSQL,-122.248,37.5119,USA
KSEE,-116.974,32.8273,USA
KSAW,-87.395,46.341,USA
KRHV,-121.82,37.3331,USA
KPOF,-90.3224,36.7697,USA
KIFP,-114.561,35.1487,USA
KHSA,-89.4554,30.3765,USA
KGYR,-112.368,33.428,USA
KGEU,-112.293,33.528,USA
KFWS,-97.308,32.558,USA
KFDK,-77.3696,39.4177,USA
KCWA,-89.671,44.7795,USA
KBVI,-80.3825,40.7735,USA
KBJC,-105.104,39.9008,USA
KAQV,-93.297,31.396,USA
CYSF,-105.837,59.252,CAN
CYKJ,-105.618,57.256,CAN
KWAL,-75.4662,37.9372,USA
KMEM,-89.9864,35.0564,USA
KGKY,-97.0951,32.6583,USA
CYYU,-82.47,49.416,CAN
USCM,58.756,53.393,RUS
RKSG,127.031,36.962,KOR
PWAK,166.623,19.287,
PASD,-160.525,55.318,
PAKU,-149.613,70.331,USA
PADM,-162.033,61.865,USA
LMML,14.477,35.858,MLT
KTZR,-83.1357,39.8988,USA
KSCH,-73.9301,42.8499,USA
KMWC,-88.0343,43.1095,USA
KMWA,-89.0118,37.7544,USA
KMNM,-87.639,45.126,USA
KLWB,-80.3923,37.8633,USA
KLRF,-92.131,34.92,USA
KLHW,-81.5625,31.8872,USA
KJVL,-89.0419,42.6213,USA
KGYY,-87.4091,41.6121,USA
KESN,-76.069,38.804,USA
KESC,-87.0893,45.7225,USA
KEMT,-118.034,34.0882,USA
KCWF,-93.1467,30.2216,USA
KCGF,-81.4827,41.566,USA
KBBG,-93.1969,36.5259,USA
KBAK,-85.8926,39.2664,USA
KATW,-88.526,44.2519,USA
KANR,-91.19,27.2264,
CWPF,-123.439,48.432,CAN
RKNY,128.669,38.061,KOR
PAMY,-166.262,60.376,USA
KSFY,-90.1101,42.0454,USA
KRND,-98.268,29.537,USA
KDEQ,-94.4016,34.048,USA
KBAD,-93.658,32.488,USA
CYDN,-100.057,51.1,CAN
UHMA,177.739,64.733,RUS
PFKW,-161.44,60.793,USA
PASN,-170.223,57.155,USA
PAEH,-162.062,58.652,USA
MMCV,-98.959,23.706,MEX
KSTP,-93.0559,44.9324,USA
KOCH,-94.7081,31.5809,USA
KLFK,-94.7546,31.2359,USA
KHRO,-93.1566,36.2673,USA
KAIA,-102.802,42.0573,USA
CYVL,-126.129,67.021,CAN
CYGH,-128.644,66.242,CAN
MMLO,-101.481,20.997,MEX
KDOV,-75.465,39.13,USA
CYHI,-117.8,70.761,CAN
PAWS,-149.538,61.571,USA
PARS,-161.321,61.78,USA
KNKX,-117.137,32.865,USA
KMYF,-117.137,32.8145,USA
KMKO,-95.3658,35.6576,USA
KFBG,-78.932,35.131,USA
FAEL,27.826,-33.036,ZAF
CYWK,-66.874,52.927,CAN
CYLD,-83.358,47.818,CAN
CYKG,-71.932,61.591,CAN
YSTW,150.847,-31.084,AUS
PKWA,167.724,8.72,
LTCI,43.337,38.469,TUR
KTXW,-97.9742,26.1824,USA
KSUW,-92.0926,46.6833,USA
KSEM,-86.9836,32.3367,USA
KRUE,-93.095,35.2573,USA
KRKD,-69.1014,44.0611,USA
KP08,-111.427,32.9359,USA
KILM,-77.8999,34.2668,USA
KIKT,-88.2889,28.5208,
KGUL,-93.5383,27.3039,
KDSF,-88.2649,28.3426,
KBVX,-91.6517,35.7259,USA
KBOW,-81.7811,27.9471,USA
K3D2,-87.1881,45.1348,USA
CYCO,-115.135,67.817,
RKTI,127.885,37.03,KOR
PFYU,-145.243,66.572,USA
PAJC,-158.374,56.312,USA
PAGL,-163.013,64.548,
KSNA,-117.867,33.6798,USA
KMPO,-75.3771,41.1368,USA
KJAX,-81.6937,30.4953,USA
KINT,-80.2244,36.1335,USA
KDUB,-109.684,43.5485,USA
UHMM,150.725,59.911,RUS
PHHI,-158.044,21.478,USA
KSHV,-93.8244,32.4473,USA
KLGB,-118.147,33.8118,USA
KISW,-89.837,44.3591,USA
KBPT,-94.0262,29.9521,USA
ETOU,8.329,50.048,DEU
CYKD,-135.013,68.227,CAN
PFTO,-142.954,63.329,USA
PAWD,-149.418,60.129,USA
PASV,-155.577,61.101,USA
PAPO,-166.807,68.345,
PAPE,-159.16,55.9096,
KWRB,-83.593,32.639,USA
KEQY,-80.6242,35.0147,USA
YPJT,115.879,-32.101,AUS
YMAV,144.478,-38.029,AUS
PAIL,-154.909,59.7492,USA
KRBD,-96.8677,32.6782,USA
KPEX,-94.7388,45.3725,USA
KI69,-84.21,39.078,USA
KHYR,-91.4426,46.0303,USA
KFSM,-94.3653,35.3335,USA
KCRG,-81.5128,30.3371,USA
KCQM,-92.6817,47.8199,USA
KAFP,-80.0784,35.0194,USA
TJPS,-66.567,18.011,PRI
PAUT,-165.604,54.145,USA
PAKX,-154.323,60.198,USA
PABR,-156.784,71.2837,USA
PABA,-143.585,70.135,
KZPH,-82.1564,28.2268,USA
KZER,-76.371,40.7072,USA
KY70,-85.0653,42.9398,USA
KY63,-95.9946,45.9891,USA
KY51,-90.8997,43.5814,USA
KY49,-94.6433,47.1599,USA
KY31,-84.18,44.2434,USA
KY23,-91.638,45.311,USA
KY19,-100.894,46.7648,USA
KXSA,-76.9016,37.8606,USA
KXNX,-86.41,36.3745,USA
KXLL,-75.4894,40.5704,USA
KXBP,-97.8268,33.1729,USA
KX60,-82.4743,29.3524,USA
KX26,-80.497,27.813,USA
KX07,-81.6167,27.8934,USA
KWYS,-111.124,44.6811,USA
KWDR,-83.667,33.981,USA
KW99,-79.1421,38.9947,USA
KW81,-78.0977,37.1813,USA
KW78,-78.846,36.7087,USA
KW75,-76.4477,37.6024,USA
KW63,-78.5559,36.6008,USA
KW43,-104.568,44.6607,USA
KW22,-80.2712,39.001,USA
KW13,-78.944,38.077,USA
KVYS,-89.1496,41.3517,USA
KVVV,-96.4256,45.2994,USA
KVVS,-79.6575,39.9581,USA
KVTP,-105.171,37.512,USA
KVPC,-84.8507,34.1158,USA
KVNC,-82.44,27.0728,USA
KVLL,-83.178,42.543,USA
KVKS,-90.9269,32.2359,USA
KVJI,-82.037,36.6871,USA
KVHN,-104.783,31.0602,USA
KVGC,-75.5637,42.8444,USA
KVER,-92.6842,38.9496,USA
KVDI,-82.3642,32.1933,USA
KVDF,-82.3415,28.0198,USA
KVCV,-117.389,34.5933,USA
KVBW,-78.968,38.366,USA
KVAF,-94.6253,27.3536,
KUXL,-93.3767,30.135,USA
KUWL,-85.3313,39.8752,USA
KUVA,-99.743,29.2135,USA
KUUV,-91.1609,38.2335,USA
KUTA,-90.344,34.6766,USA
KUSE,-84.1275,41.6118,USA
KUOX,-89.5435,34.3851,USA
KUNU,-88.7017,43.4285,USA
KUNI,-82.2204,39.2129,USA
KUMP,-86.0478,39.936,USA
KULS,-101.377,37.6037,USA
KUKT,-75.3802,40.4368,USA
KUBE,-91.978,45.5046,USA
KU69,-110.387,40.198,USA
KU68,-108.447,44.9113,USA
KU64,-109.34,37.9333,USA
KU52,-112.672,38.232,USA
KTYQ,-86.2488,40.0345,USA
KTYL,-110.112,34.4577,USA
KTXK,-93.9878,33.4561,USA
KTWT,-87.9568,37.5432,USA
KTWM,-91.7447,47.0192,USA
KTVY,-112.354,40.6127,USA
KTVK,-92.8984,40.6832,USA
KTVI,-83.8826,30.9026,USA
KTTF,-83.4332,41.9371,USA
KTSP,-118.442,35.1387,USA
KTQV,-78.937,36.007,USA
KTQH,-95.0025,35.9304,USA
KTPF,-82.4518,27.9153,
KTOC,-83.2974,34.588,USA
KTOB,-92.8295,44.0202,USA
KTNU,-93.019,41.6701,USA
KTNB,-81.6515,36.1988,USA
KTMT,-117.197,39.4643,USA
KTMK,-123.814,45.421,USA
KTMA,-83.4859,31.4229,USA
KTKX,-90.0367,36.2226,USA
KTKV,-89.805,45.469,USA
KTKC,-95.612,44.25,USA
KTIP,-88.146,40.291,USA
KTIF,-100.569,41.9646,USA
KTHA,-86.2419,35.3804,USA
KTGI,-75.9964,37.8279,
KTEX,-107.909,37.954,USA
KTEW,-84.4222,42.5636,USA
KTCY,-121.444,37.6919,USA
KTBR,-81.738,32.48,USA
KTAZ,-89.3294,39.535,USA
KT89,-103.691,29.2774,USA
KT82,-98.904,30.239,USA
KT78,-94.6996,30.0754,USA
KT74,-97.4447,30.5704,USA
KT69,-97.541,28.0418,USA
KT41,-95.0644,29.6709,USA
KT35,-96.9704,30.8789,USA
KT20,-97.463,29.5301,USA
KSZY,-88.5012,35.2064,USA
KSYN,-93.014,44.474,USA
KSYM,-83.5835,38.2199,USA
KSYI,-86.4406,35.5594,USA
KSYF,-101.793,39.7583,USA
KSXU,-104.637,34.9355,USA
KSXK,-96.1645,42.9895,USA
KSWW,-100.467,32.4688,USA
KSVC,-108.147,32.631,USA
KSUZ,-92.4802,34.5862,USA
KSTK,-103.261,40.6133,USA
KSTF,-88.8506,33.4326,USA
KSTE,-89.5347,44.5437,USA
KSRR,-105.528,33.4667,USA
KSRE,-96.675,35.271,USA
KSRB,-85.536,36.0529,USA
KSPK,-111.677,40.1497,USA
KSPF,-103.788,44.4811,USA
KSPA,-81.9589,34.9106,USA
KSOW,-110.002,34.2686,USA
KSOA,-100.651,30.5853,USA
KSNL,-96.9445,35.3611,USA
KSNK,-100.951,32.6917,USA
KSNC,-72.506,41.383,USA
KSMS,-80.3582,34.0003,USA
KSME,-84.6141,37.0529,USA
KSMD,-85.1492,41.144,USA
KSLR,-95.6189,33.1615,USA
KSLO,-88.9612,38.6446,USA
KSLH,-84.5202,45.6523,USA
KSLB,-95.2399,42.5972,USA
KSJX,-85.5662,45.6928,USA
KSJS,-82.6413,37.7489,USA
KSHL,-95.8354,43.2082,USA
KSHD,-78.9013,38.2601,USA
KSGS,-93.0321,44.8601,USA
KSFQ,-76.6013,36.6825,USA
KSEZ,-111.788,34.8467,USA
KSEP,-98.1793,32.215,USA
KSEF,-81.3415,27.4553,USA
KSDC,-77.1201,43.2355,USA
KSDA,-95.4112,40.7533,USA
KSCX,-84.584,36.4553,USA
KSCD,-86.2933,33.1732,USA
KSBX,-111.871,48.541,USA
KSBS,-106.868,40.5153,USA
KSAZ,-94.8017,46.3785,USA
KSAR,-89.7025,38.1463,USA
KSAA,-106.815,41.447,USA
KS52,-120.15,48.4282,USA
KS39,-120.901,44.2858,USA
KS34,-114.901,47.4718,USA
KS33,-121.157,44.6653,USA
KS32,-98.11,47.424,USA
KS25,-103.257,47.7954,USA
KS24,-83.037,41.296,USA
KS21,-121.454,43.8801,USA
KS12,-123.058,44.6394,USA
KRZT,-83.0209,39.4402,USA
KRZR,-84.8005,35.207,USA
KRZN,-92.3706,45.8229,USA
KRZL,-87.1851,40.9488,USA
KRYW,-97.969,30.498,USA
KRYV,-88.7251,43.1702,USA
KRWV,-96.7051,30.5161,USA
KRVL,-77.6251,40.6768,USA
KRVJ,-82.153,32.059,USA
KRVF,-112.303,45.534,USA
KRTS,-119.873,39.6658,USA
KRSN,-92.5899,32.5159,USA
KRRT,-95.3405,48.9318,USA
KRRL,-89.71,45.1985,USA
KRQO,-98.0061,35.4709,USA
KRQB,-85.498,43.722,USA
KRPJ,-89.0817,41.8906,USA
KRPH,-98.5537,33.1096,USA
KRPD,-91.7764,45.4186,USA
KROX,-95.6949,48.856,USA
KROS,-92.9543,45.6962,USA
KRNP,-84.1347,42.9937,USA
KRNH,-92.5335,45.1476,USA
KRNC,-85.8402,35.6991,USA
KRMY,-84.9526,42.2524,USA
KRMN,-77.4523,38.3941,USA
KRLD,-119.306,46.3086,USA
KRKW,-84.689,35.922,USA
KRKR,-94.6202,35.0187,USA
KRGK,-92.4844,44.5927,USA
KRGA,-84.329,37.6305,USA
KRFI,-94.8539,32.1441,USA
KREG,-90.9397,30.1756,USA
KRDK,-95.2622,41.0107,USA
KRCV,-106.355,37.7092,USA
KRCR,-86.1864,41.0651,USA
KRCE,-97.8255,35.4971,USA
KRBW,-80.64,32.921,USA
KRBO,-97.6878,27.7781,USA
KRAS,-97.0853,27.8083,USA
KPZQ,-83.812,45.4085,USA
KPYX,-100.751,36.4103,USA
KPXE,-83.7656,32.5072,USA
KPWD,-104.525,48.7912,USA
KPWC,-94.3849,46.7266,USA
KPVW,-101.723,34.169,USA
KPVJ,-97.2211,34.7041,USA
KPVF,-120.757,38.7222,USA
KPVE,-88.1929,35.6592,USA
KPVB,-90.4413,42.6909,USA
KPUJ,-84.9369,33.9085,USA
KPTT,-98.7453,37.7069,USA
KPTS,-94.7322,37.4512,USA
KPTD,-74.9469,44.6757,USA
KPSO,-107.056,37.291,USA
KPSN,-95.7048,31.7784,USA
KPSK,-80.6789,37.1337,USA
KPRS,-104.358,29.6346,USA
KPRO,-94.1637,41.8278,USA
KPRG,-87.6669,39.6982,USA
KPPQ,-90.7818,39.6391,USA
KPPO,-86.7333,41.5705,USA
KPPA,-100.997,35.6139,USA
KPOY,-108.79,44.8641,USA
KPOV,-81.2479,41.209,USA
KPO1,-105.162,48.134,USA
KPNT,-88.6213,40.9233,USA
KPNM,-93.608,45.556,USA
KPNA,-109.805,42.7929,USA
KPMV,-95.9124,40.9446,USA
KPMU,-89.8904,34.3656,USA
KPLU,-122.285,47.1005,USA
KPLR,-86.2463,33.5608,USA
KPLD,-84.9848,40.4532,USA
KPKV,-96.6799,28.6499,USA
KPJC,-80.1624,40.8009,USA
KPIM,-84.8766,32.8421,USA
KPHT,-88.3871,36.3322,USA
KPHN,-82.5332,42.9103,USA
KPEQ,-103.512,31.382,USA
KPEA,-92.9431,41.3989,USA
KPDC,-91.1212,43.0194,USA
KPCZ,-89.0203,44.3342,USA
KPCW,-82.8692,41.5188,USA
KPCM,-82.1593,28.0013,USA
KPCD,-89.8582,37.8749,USA
KPBX,-82.5674,37.5587,USA
KPAN,-111.338,34.2551,USA
KP52,-112.034,34.7263,USA
KOZW,-83.9854,42.6327,USA
KOZS,-92.6897,37.9745,USA
KOYM,-78.5131,41.4118,USA
KOYE,-90.4911,28.8669,
KOXV,-93.1114,41.2984,USA
KOXI,-86.665,41.3275,USA
KOWP,-96.1536,36.1721,USA
KOWI,-95.2542,38.5409,USA
KOVL,-95.0304,44.7792,USA
KOSC,-83.396,44.453,USA
KOSA,-94.9601,33.0936,USA
KORS,-122.909,48.7081,USA
KORK,-92.2557,34.833,USA
KORG,-93.8043,30.068,USA
KOQN,-75.5803,39.9889,USA
KOPN,-84.2595,32.954,USA
KOOA,-92.4919,41.2273,USA
KONZ,-83.161,42.0991,USA
KONX,-76.014,36.399,USA
KONP,-124.057,44.5825,USA
KONM,-106.904,34.0263,USA
KONL,-98.6903,42.4691,USA
KONA,-91.707,44.076,USA
KOMH,-78.0454,38.2487,USA
KOLZ,-91.976,42.6831,USA
KOLY,-88.1799,38.7213,USA
KOLG,-91.8183,46.3153,USA
KOLE,-78.3721,42.2429,USA
KOKZ,-82.8387,32.9651,USA
KOKV,-78.1391,39.1406,USA
KOKM,-95.9514,35.6713,USA
KOJA,-98.6702,35.5484,USA
KOIN,-100.538,39.8298,USA
KOIC,-75.5269,42.5642,USA
KOGS,-75.4641,44.68,USA
KOGA,-101.768,41.1164,USA
KOEO,-92.6948,45.3108,USA
KOEL,-100.819,39.1139,USA
KOEB,-85.0544,41.9308,USA
KOCQ,-87.9084,44.8749,USA
KOBE,-80.8487,27.2663,USA
KOAR,-121.757,36.6815,USA
KO86,-122.693,40.9845,USA
KO69,-122.607,38.2601,USA
KO32,-119.453,36.6691,USA
KO22,-120.415,38.03,USA
KO05,-121.243,40.2865,USA
KNUQ,-122.049,37.4059,USA
KNRN,-99.8915,39.8497,USA
KNOW,-123.403,48.1394,
KN79,-76.546,40.8371,USA
KN38,-77.3958,41.7287,USA
KN03,-76.2174,42.5929,USA
KMZZ,-85.6859,40.4863,USA
KMZJ,-111.335,32.5147,USA
KMYZ,-96.6279,39.8544,USA
KMYP,-106.32,38.4972,USA
KMYJ,-91.8129,39.1561,USA
KMXO,-91.1604,42.2203,USA
KMWO,-84.3973,39.5324,USA
KMWM,-95.1073,43.91,USA
KMVH,-108.936,46.838,USA
KMVE,-95.7116,44.9675,USA
KMUT,-91.1406,41.367,USA
KMTV,-80.0134,36.6272,USA
KMTK,-89.3958,28.6967,
KMRT,-83.3475,40.2237,USA
KMRJ,-90.2315,42.8875,USA
KMQW,-82.882,32.0942,USA
KMQS,-75.8605,39.9773,USA
KMQJ,-85.894,39.8402,USA
KMQB,-90.6481,40.5176,USA
KMPZ,-91.5122,40.9453,USA
KMPR,-97.6883,38.3491,USA
KMOX,-95.9659,45.5677,USA
KMOR,-83.3853,36.1746,USA
KMOP,-84.743,43.6229,USA
KMNZ,-98.1462,31.6697,USA
KMNI,-80.2059,33.5882,USA
KMNH,-104.642,39.2232,USA
KMNE,-93.2972,32.6433,USA
KMMI,-84.5612,35.3952,USA
KMMH,-118.838,37.6253,USA
KMLJ,-83.242,33.153,USA
KMLE,-96.1131,41.1981,USA
KMKS,-80.0363,33.1874,USA
KMKN,-98.5978,31.924,USA
KMKJ,-81.3449,36.8944,USA
KMJQ,-94.9885,43.6496,USA
KMJD,-89.6535,30.494,USA
KMIO,-94.8893,36.9128,USA
KMHR,-121.284,38.56,USA
KMHP,-82.079,32.374,USA
KMHL,-93.2024,39.093,USA
KMGR,-83.8035,31.0835,USA
KMGN,-84.913,45.4241,USA
KMGG,-93.9896,45.2354,USA
KMGC,-86.8183,41.7048,USA
KMFV,-75.763,37.646,USA
KMEZ,-94.1918,34.5414,USA
KMEV,-119.75,38.9963,USA
KMDZ,-90.3064,45.1013,USA
KMDS,-97.0817,44.0141,USA
KMDQ,-86.559,34.866,USA
KMDD,-102.1,32.0359,USA
KMCX,-86.7649,40.7127,USA
KMCJ,-95.3967,29.7139,USA
KMCD,-84.634,45.866,USA
KMCC,-121.403,38.678,USA
KMBY,-92.4244,39.464,USA
KMBT,-86.3793,35.8767,USA
KMAW,-89.9865,36.5945,USA
KMAO,-79.3341,34.1852,USA
KMAN,-116.521,43.582,USA
KM91,-86.919,36.5363,USA
KM75,-107.919,48.3686,USA
KM40,-88.4872,33.8755,USA
KM30,-88.7487,37.1824,USA
KM25,-88.5829,36.764,USA
KM21,-87.1542,37.2291,USA
KM08,-89.0449,35.2155,USA
KM02,-87.4283,36.1289,USA
KM01,-90.0548,35.2004,USA
KLYV,-96.214,43.6217,USA
KLYO,-98.2266,38.343,USA
KLXY,-96.5122,31.6446,USA
KLXN,-99.775,40.7915,USA
KLXL,-94.3441,45.9509,USA
KLWA,-86.2578,42.3476,USA
KLVN,-93.2273,44.6252,USA
KLVL,-77.7925,36.7723,USA
KLUX,-81.949,34.508,USA
KLUM,-91.8665,44.8936,USA
KLUL,-89.1705,31.6682,USA
KLUG,-86.8055,35.5082,USA
KLUD,-97.5826,33.2568,USA
KLUA,-78.501,38.667,USA
KLRY,-94.3453,38.6074,USA
KLRU,-106.913,32.2884,USA
KLRO,-79.7796,32.8982,USA
KLRJ,-96.195,42.7771,USA
KLQK,-82.7047,34.8069,USA
KLOM,-75.2684,40.1376,USA
KLNP,-82.524,36.9884,USA
KLNN,-81.3896,41.6839,USA
KLNL,-89.2108,46.1515,USA
KLNC,-96.7209,32.5832,USA
KLNA,-80.0848,26.5925,USA
KLMS,-89.063,33.15,USA
KLMO,-105.16,40.1612,USA
KLLN,-102.375,33.556,USA
KLKU,-77.9681,38.0085,USA
KLKR,-80.8532,34.7266,USA
KLJF,-94.5084,45.0948,USA
KLHM,-121.352,38.9148,USA
KLHB,-96.6207,30.8693,USA
KLGC,-85.0717,33.0093,USA
KLDM,-86.4107,43.9614,USA
KLCQ,-82.5684,30.1838,USA
KLBO,-92.6544,37.6449,USA
KLAM,-106.262,35.8789,USA
KL35,-116.855,34.2626,USA
KL18,-117.249,33.3551,USA
KL08,-116.323,33.2604,USA
KKY8,-86.8592,37.953,USA
KKNB,-112.53,37.0078,USA
KK88,-95.384,37.8692,USA
KK83,-95.7747,39.9053,USA
KK82,-98.7957,39.7606,USA
KK70,-80.277,25.322,USA
KK62,-84.3964,38.7018,USA
KJZP,-84.4597,34.4542,USA
KJZI,-80.0058,32.7025,USA
KJYR,-97.6258,40.8942,USA
KJYO,-77.5605,39.0826,USA
KJYM,-84.5853,41.9197,USA
KJYL,-81.5894,32.6459,USA
KJYG,-94.5527,43.9855,USA
KJXI,-94.9471,32.7036,USA
KJWY,-96.914,32.456,USA
KJWG,-98.423,35.863,USA
KJVY,-85.7366,38.3692,USA
KJSY,-117.254,45.3556,USA
KJSV,-94.8012,35.4381,USA
KJSO,-95.2145,31.869,USA
KJPX,-72.2511,40.9605,USA
KJOT,-88.179,41.5176,USA
KJMR,-93.269,45.8885,USA
KJKJ,-96.6545,46.8404,USA
KJHN,-101.73,37.5782,USA
KJFZ,-81.7969,37.0634,USA
KJFX,-87.3092,33.9008,USA
KJES,-81.8896,31.5521,USA
KJDD,-95.4945,32.7403,USA
KJCA,-83.5583,34.1739,USA
KJAS,-94.0332,30.8904,USA
KJAQ,-120.794,38.3742,USA
KIZA,-120.076,34.6059,USA
KIYA,-92.0826,29.976,USA
KIUA,-77.3227,42.9058,USA
KISQ,-86.1728,45.9729,USA
KIOB,-83.9829,38.0574,USA
KINJ,-97.0959,32.0844,USA
KINF,-82.319,28.8062,USA
KIMS,-85.4689,38.7515,USA
KIMM,-81.4073,26.4321,USA
KIKW,-84.2613,43.6643,USA
KIKV,-93.5695,41.6878,USA
KIKK,-87.8537,41.0687,USA
KIKG,-98.0292,27.5464,USA
KIJX,-90.2419,39.774,USA
KIIY,-82.8135,33.7797,USA
KIIB,-91.9504,42.4544,USA
KIGQ,-87.5282,41.5412,USA
KIFA,-93.2651,42.4691,USA
KIDI,-79.1036,40.6337,USA
KICL,-95.0222,40.7242,USA
KIBM,-103.671,41.1894,USA
KI95,-83.6374,40.6142,USA
KI75,-93.6876,41.0472,USA
KI74,-83.757,40.1314,USA
KI68,-84.2532,39.4664,USA
KI63,-90.8023,39.9883,USA
KI35,-83.3586,36.8577,USA
KI23,-83.4239,39.5697,USA
KI16,-81.5589,37.5998,USA
KHZX,-93.3128,46.6189,USA
KHZL,-75.9901,40.9845,USA
KHZE,-101.577,47.288,USA
KHZD,-88.4654,36.089,USA
KHYX,-83.8648,43.4319,USA
KHYW,-79.1259,33.8256,USA
KHWY,-77.715,38.5876,USA
KHVS,-80.1198,34.4065,USA
KHVE,-110.704,38.418,USA
KHVC,-87.4478,36.8603,USA
KHTH,-118.631,38.5448,USA
KHSP,-79.8285,37.9531,USA
KHSG,-108.385,43.7178,USA
KHSD,-97.7093,35.6018,USA
KHSB,-88.5449,37.8128,USA
KHRX,-102.32,34.8628,USA
KHRF,-114.127,46.2575,USA
KHQU,-82.518,33.5279,USA
KHQG,-101.371,37.1647,USA
KHPT,-93.2244,42.7175,USA
KHOE,-82.7726,31.0561,USA
KHNR,-95.3358,41.5841,USA
KHMZ,-78.5167,40.0863,USA
KHMT,-117.027,33.7303,USA
KHMP,-84.3312,33.3916,USA
KHLB,-85.2602,39.3463,USA
KHJH,-97.5872,40.1493,USA
KHII,-114.352,34.5659,USA
KHHW,-95.5401,34.0308,USA
KHHG,-85.4543,40.8543,USA
KHHF,-100.405,35.8929,USA
KHFY,-86.088,39.628,USA
KHFJ,-94.0099,36.9105,USA
KHEQ,-102.277,40.5715,USA
KHEG,-81.8087,30.2771,USA
KHDE,-99.3363,40.4496,USA
KHDC,-90.4176,30.5237,USA
KHCR,-111.433,40.4774,USA
KHCO,-96.9376,48.7524,USA
KHCD,-94.3855,44.8597,USA
KHBV,-98.7415,27.3516,USA
KHAI,-85.5933,41.9591,USA
KHAF,-122.5,37.5136,
KHAE,-91.4425,39.7262,USA
KGZS,-87.0543,35.1533,USA
KGZL,-95.0956,35.2913,USA
KGYL,-94.0905,44.7588,USA
KGYF,-94.8981,26.1292,
KGYB,-96.9785,30.1714,USA
KGWR,-97.6396,46.2185,USA
KGWB,-85.0585,41.3061,USA
KGVT,-96.0614,33.0669,USA
KGVE,-78.1656,38.1569,USA
KGSO,-79.9432,36.0969,USA
KGRY,-90.4411,27.6247,
KGRN,-102.181,42.8039,USA
KGPH,-94.3082,39.3248,USA
KGPC,-86.816,39.635,USA
KGOP,-97.7951,31.4208,USA
KGOO,-121.003,39.224,USA
KGNG,-114.765,42.9155,USA
KGNC,-102.65,32.678,USA
KGNB,-105.911,40.0904,USA
KGMJ,-94.7369,36.607,USA
KGLY,-93.6774,38.3572,USA
KGLW,-85.9523,37.0337,USA
KGKT,-83.5333,35.8568,USA
KGIC,-116.133,45.9411,USA
KGHW,-95.3187,45.6456,USA
KGHG,-70.6769,42.0961,USA
KGGI,-92.7332,41.7097,USA
KGGF,-101.734,40.871,USA
KGGE,-79.3187,33.3138,USA
KGDK,-83.9896,39.6935,USA
KGDJ,-97.817,32.4469,USA
KGDB,-95.5591,44.7521,USA
KGDA,-88.1095,37.3344,USA
KGCY,-82.8135,36.1924,USA
KGCM,-95.4825,36.2918,USA
KGCD,-118.967,44.4029,USA
KGBG,-90.4334,40.9329,USA
KGAO,-90.2599,29.4352,USA
KGAF,-97.3694,48.4081,USA
KFZG,-83.2712,31.684,USA
KFYM,-86.5656,35.0603,USA
KFYJ,-76.7663,37.5224,USA
KFYG,-90.9915,38.5877,USA
KFYE,-89.3929,35.2061,USA
KFXY,-93.6237,43.2323,USA
KFWC,-88.4135,38.3796,USA
KFWB,-93.4049,36.6933,USA
KFVX,-78.4372,37.363,USA
KFTN,-100.024,28.2111,USA
KFSW,-91.3267,40.6615,USA
KFSK,-94.7676,37.796,USA
KFSE,-95.773,47.589,USA
KFRR,-78.2487,38.9169,USA
KFRH,-86.6442,38.5034,USA
KFPY,-83.5731,30.0719,USA
KFPK,-84.8125,42.5764,USA
KFOM,-112.36,38.9618,USA
KFOA,-88.4527,38.6673,USA
KFMM,-103.807,40.3315,USA
KFLY,-104.568,38.9439,USA
KFKS,-86.1985,44.6246,USA
KFKR,-86.5644,40.2748,USA
KFKN,-76.9032,36.6984,USA
KFKA,-92.174,43.677,USA
KFHB,-81.4623,30.6131,USA
KFGX,-83.7467,38.5383,USA
KFGN,-94.902,49.318,USA
KFFX,-85.9936,43.4417,USA
KFFM,-96.1534,46.2865,USA
KFFL,-91.9834,41.0521,USA
KFET,-96.5237,41.4489,USA
KFEP,-89.581,42.2475,USA
KFDW,-81.1119,34.3151,USA
KFCH,-119.82,36.7338,USA
KFBR,-110.406,41.3941,USA
KFBL,-93.3119,44.3298,USA
KF70,-117.126,33.577,USA
KF46,-96.4349,32.9322,USA
KF44,-95.829,32.165,USA
KF17,-94.154,31.8277,USA
KF05,-99.2834,34.2283,USA
KF00,-96.1809,33.6158,USA
KEZZ,-94.2785,39.729,USA
KEZS,-88.5639,44.787,USA
KEZM,-83.1321,32.2136,USA
KEZF,-77.448,38.2685,USA
KEVU,-94.9137,40.3524,USA
